index,text
1,"tokenku msih di 1530 beli dri bulan januari februari pas diskon, pemakaian biasanya sebulan 150rb, kayaknya awet deh beli diskonan januari kemarin bsa smpai 10 bln ke depan g beli token, ada yg sama?"
2,dpt diskon ...tp setelah diskon bayar 2x lipat😭😭
3,"aku pake prabayar pas dulu diskon emg lumayan.. tapi d rumah ibu ku yg biasanya 130mentok perbln nya,, tiba2 jadi 170.. padahal pemakaian cuma kulkas, magicom + sanyo kadang2 + tv jg kadang2"
4,halahhh bln skrg diskon bulan depan bayr 2x lipat😌🤨 biasa byr listrik paling mahal 130-150 an tb2 aja kena 230rb pdhl pemakaian biasa aja
5,"habis diskon naik 2x lipat bayarnya ya allah kok gini bgt ya hidup di indonesia semua di jadi,in bisnis kaum elit.."
6,gak.... gak usah diskon² laah normal kaya kemaren aja sebelum diskon jilid 1 nanti abis diskon naek lagi jilid ke 2
7,percuma di kasih diskon bulan selanjutnya bayar nya naik
8,"kalau saya kemarin yang diskon itu sama aja, cumn lebih semingguan gtu gak beli nya,kirain kalau doble gtu bisa buat dua bulanan"
9,abis diskon naeknya 2xlipat🤣🤣🤣
10,"diskon 2 bln, 5 bln byran 2x lipat trus.stop2"
11,"enak banget ya yg pakai token listrik pulsa untung banyak, eh yg listrik pascabayar habis diskon 2 kali langsung melonjak drastis bayarannya 😅"
12,waaaww tpi dari bln februari aja token ku msh ada gratisan blm habis🤭.. d timpah lg ini alhamdulillah membantu sekali
13,ga usah diskon2 kalo ada masud tertentu tiba2 listrik naik 2 kali lipat
14,"wkwk diskon dari hongkong 😂 itu ibarat kita bayar bulan ini murah, bulan berikutnya kena rapel tagihan jadi mahal bayarnya.,, 😌😌"
15,"klo abis diskon, bulan berikut nya bayar nya berasa double, soalnya pemakaian sama tapi tagihan nya lebih mahal, kocak 😂"
16,saldo token yg beli januari kmren aja msh banyak😁😁😁
17,"ngk mau discond lagi ,setelah discond habis cpt habiss kalau isi 🥺"
18,meteran ku daya 900 dari pertama masang di isi 200ribu kok 2 tahun nggk kurang2 ya isi token nya 😳
19,hbis diskon januari dan februari njir ngisi 100 rb 900 va ga berasa njir ga ada 10 hari dh hbis.pdhl sblm itu biasanya kuat 2minggu bhkn lebih
20,"turunin aja harga nya, ngapain pake bahasa diskon. kaya pakaian lg event aja😏"
21,"plis yg bilang tarif setelah diskon naik jadi 2x lipat info darimana, soalnya aku bayarin listrik 2 rumah punya ortu dan kaka daya 450 tpi bayaran tetep normal ko gak naik 2x lipar, btw daerahku jawa barat"
22,"yg bener aje nanti abis diskon ,listri melonjak lagi naek keskrg ini ,biasanya pemakan saya sbln ,100rb prbln ,skrg 200rb ,prbln padahal daya wat gak nambah2 cumn untuk rumah kecil"
23,1300 bayarnya 480k mahal bner ini biasaa nya 350-370
24,no coment.....!!!!
25,"darimana indonesia gelapnya ya, perasaan terang banget ni listrik diskon terus wkwk"
26,"yg bilang naik, ga pernah dicek sih meteran pln nya.. pemakaian kalian aja yg ga sadar berlebihan"
27,"semua komen kok pd aneh2 ya.. kami justru merasakan banget danpaknya 👍… justru bikin irit loh, yg tdnya cuma buat sebulan jadi bisa smpai 2 bulan"
28,"harus nya dimulai dari daya 1300 karena daya 1300 byk digunakan oleh pelaku umkm ,jd pemerintah harus membantu"
29,yg kemarin aku isi 400 aja blm habis. ini diskon lagi. makasih banyak yaaa
30,"halahhh nanti abis diskon naiknya 2 kali lipat ,heran aku mah dgn pln"
31,sumpah cuma ini yang gue dapat dari pemerintah
32,jadi 1.300 gak dapet ya🥺
33,"kl pemerintah mau adil gk usah ada dicoun tarif listrik,gk usah naik gaji pns sementara nelayan,petani,ojol gk punya gaji tetap,cukup turunkan tarif dasar listrik,bbm,srmbako,pajak.. semua sama rata biar adil,turunkan harga"
34,jdi intinya 1300 diskon apa gak
35,bantuan bulan februari aja masih 700 kwh🗿 kalo dikasih lagi ya gass all in🤣
36,"kmren abis diskon lgsg naek 2x lipat,nah jgn2 abis diskon skali ini naek 3x lipat..jangan kau kelabui kmi"
37,"alhamdulillah klo ada diskon gara2 diskon februari aku blom isi token sampai skrang🤣🤣,, pas bener ne terakhir tokenku bln juni😁😁🥰"
38,dampaknya positif bisa irit berbulan bulan biasanya 1 bulan habis
39,"diskon apaan , kalau setelah itu langsung melonjak 2x lipat bayarnya"
40,"smoga bner ya,,kmren berasa bgt hematnya dpt diskon isi token untuk sebulan kmren bisa sampe 2bulan☺️"
41,"trimakasih pemerintah sangat membantu sprti kmrn dulu , biasa bayar lampu 600, 2 bln berturut2 itu hanya 300, sering2 ya kasi diskon 🥰"
42,1300 enggak pak ?
43,siap2 ngewarrr lgi 🤙🤙
44,1300 kyaknya ngikut deh krn batas maksimalnya 1300
45,punya aku yang 900 gak dapet kok
46,siasat yg bagus habis dikasih diskon trus dinaikkan lagi ....
47,"gw yg isi pas diskon januari februari aja masih , blum isi lg smpe skrg😆"
48,masih inget nih ya bulan puasa dapet diskon 2bln setelah diskon malah naik 2x lipat udahlah mending gk usah pakek diskon² segala ini rakyat kecil udah susah apa² mahal malah dibikin tambah susah
49,"abis diskon listrik naik atau cepat habis , kalo gak air pdam jdi mahal bayar nya"
50,saya 5000 karna gak tahan yang 900 jadi gak bkalan dapat
51,njirrr gw setelah diskon kemrin kok mlh bayarnya jadi bengkak njirrr
52,kami merasakan dg penggunaan listrik sama habisnya lbh banyak dr sebelum sebelumnya apa discount kemarin ada pengaruhnya ya
53,"banyak pabrik tutup, akibatnya stok daya listrik pln over berlebih, tak terpakai. padahal produksi daya listrik jalan teruss, terpakainya sedikit, pemasukan pln turun. diskon 50%, berharap masyarakat boros listrik. padahal lagi berhemat, usaha sepi, karna preman."
54,"diskon kemarin belum habis, prediksi habis bulan 8.. udah mau diskon lagi .. alhamdulillah"
55,1300 ga dapet ? kan di bawah 1300...
56,semoga aja beneran.. yg beli bulan 2 kmren belum abis ini ngisi lagi..
57,apa berlaku listrik pascabayar jg please info
58,"kok gk ada yg ngucapin nih ke pemerintah??🤣🤣🤣.,"
59,diskon tapi bulan bulan selanjutny langsung melejit pembayaran listrikkkkk lucu
60,"tlong jgn diskon lg, bormal aja kyk biasa gpp,,"
61,percuma dapat diskon kalau ujung ujungnya tagihan bulan berikutnya naik 2x lipat
62,bener tuh 2 bln di diskon bulan berikute 2 kali lipat 😒
63,trik marketing pemerintah kebaca bangett 😁😂
64,tar dapat kejutan lagi naik tarif 😂😂😂😂
65,"yg diskon kemarin aja perkiraan nanti bulan oktober baru habis,,ini udah mau diksh diskon lagi...😂😂"
66,kl di bawah 1300 brarti yg 1300 gk diskon gt? gmn sih mksdnya?
67,"saya merasakan subsidi dari pemerintah, sangat membantu utk saya pribadi dan masyarakat lainya."
68,saya 1300 bulan lalu 2 bulan diskon hbis itu tagihan naik yg sblumnya 250 sekarang ampek 300 pdhal pemakaian sama aja
69,alhamdulillah udah pernh merasakan potongan harga listrik bener ringan bgt..
70,gk usah di diskon lah... mending turun kan aj tdl nya...pasti jauh lbh membantu semua masyarakat
71,alhamdulillah jika ini berita benar semoga barokah indonesia ..aamiin yra .
72,kmi tidak butus diskon...entar ujung2nya melonjak tinggi6
73,emak gw full senyum
74,habis diskon pasti mahal.biasa nya kn gitu buat nutupin diskon yg uda di kasih
75,moduss jadi double di bulan selanjutnya
76,aku udah 3 bulan kagak isi token lagi dan kek super duper irit menurut ku dari biasanya
77,"biasanya sblm diskon sebulan cuma 150 tapi stlh ada diskon malah pengualaran listrik jadi 250, saya bingung yang mulia🗿"
78,sama aku juga biasa bayar paling banyak 60 sekarang sampe 120😢
79,"alhamdulillah, yg diskon februari masih belum habis. terimakasih. sangat membantu. 🙏"
80,ini sama kayak januari februari kemarin ??
81,alhamdulillah terimakasih bpk presiden 🙏
82,stok yg dlu aja belum abis...ni ada lg diskonnya.....🤣🤣🤣🤣 mantap....😂😂
83,alhamdulillah
84,aku prumahan subsidi... listrikny token 1300va🗿 membagongkan🗿
85,aku blm isi token lagi sejak diskon lalu 💃💃
86,sipp...discont lagi....punya saya mulai bulan januari blum habis tokennya....bulan 7 baru isi...klo ada discont lagi akan saya isi lagi sampai 2026 habis....trims pemerintah
