index,text
1,token saya masih di 1530 beli dari bulan januari februari saat diskon pakai biasa bulan 150rb kayak awet deh beli diskon januari kemarin bisa sampai 10 bulan ke depan beli token ada yang sama
2,dapat diskon tetapi telah diskon bayar dua kali lipat
3,saya pake prabayar saat dulu diskon memang lumayan tapi rumah ibu ku yang biasa 130mentok perbln nya tiba jadi 170 padahal pakai hanya kulkas magicom sanyo kadang2 televisi juga kadang2
4,halah bulan sekarang diskon bulan depan bayar dua kali lipat biasa bayar listrik paling mahal 130150 an tiba saja kena 230rb padahal pakai biasa saja
5,sudah diskon naik dua kali lipat bayar ya alah kok gin banget ya hidup di indonesia semua di jadiin bisnis kaum elit
6,tidak tidak usah diskon lah normal kaya kemarin saja belum diskon jilid nanti habis diskon naik lagi jilid ke
7,percuma di kasih diskon bulan lanjut bayar nya naik
8,kalau saya kemarin yang diskon itu sama saja cuma lebih seminguan begitu tidak beli nyakirain kalau doble begitu bisa untuk dua bulan
9,habis diskon naeknya 2xlipat
10,diskon bulan bulan byran dua kali lipat trusstop2
11,enak banget ya yang pakai token listrik pulsa untung banyak eh yang listrik pascabayar sudah diskon kali langsung lonjak drastis bayaranya
12,waw tapi dari bulan februari saja token ku masih ada gratis belum sudah timpah lagi ini alhamdulillah bantu sekali
13,ga usah diskon kalau ada masud tentu tiba listrik naik kali lipat
14,haha diskon dari hongkong itu ibarat kita bayar bulan ini murah bulan ikut kena rapel tagih jadi mahal bayar
15,kalau habis diskon bulan ikut nya bayar nya asa ganda karena pakai sama tapi tagih nya lebih mahal kocak
16,saldo token yang beli januari kemarin saja masih banyak
17,tidak mau discond lagi telah discond sudah cpt sudah kalau isi
18,meter ku daya 90 dari pertama masang di isi 20ribu kok tahun tidak kurang2 ya isi token nya
19,hbis diskon januari dan februari sial isi 10 ribu 90 va tidak asa sial tidak ada 10 hari dh hbispdhl belum itu biasa kuat 2mingu bhkn lebih
20,turunin saja harga nya ngapain pake bahasa diskon kaya pakai lagi event saja
21,plis yang bilang tarif telah diskon naik jadi dua kali lipat info darimana karena saya bayarin listrik rumah punya orang tua dan kakak daya 450 tapi bayar tetep normal kok tidak naik dua kali lipar btw daerah jawa barat
22,yang benar aje nanti habis diskon listrik lonjak lagi naik keskrg ini biasa pakai saya sbln 10rb per bulan sekarang 20rb per bulan padahal daya wat tidak nambah2 cuma untuk rumah kecil
23,130 bayar 480k mahal benar ini biasa nya 350370
24,no coment
25,darimana indonesia gelap ya peras terang banget ni listrik diskon terus haha
26,yang bilang naik tidak pernah cek sih meter pln nya pakai kalian saja yang tidak sadar lebih
27,semua komen kok pada aneh2 ya kami justru rasa banget danpaknya justru bikin hemat loh yang tdnya hanya untuk bulan jadi bisa sampai bulan
28,harus nya mulai dari daya 130 karena daya 130 byk guna oleh laku umkm jadi perintah harus bantu
29,yang kemarin saya isi 40 saja belum sudah ini diskon lagi terima kasih banyak ya
30,halah nanti habis diskon naik kali lipat heran saya mah dengan pln
31,sumpah hanya ini yang saya dapat dari perintah
32,jadi 130 tidak dapat ya
33,kalau perintah mau adil tidak usah ada dicoun tarif listrikgk usah naik gaji pns sementara nelayanpetaniojol tidak punya gaji tetapcukup turun tarif dasar listrikbmsrmbakopajak semua sama rata biar adilturunkan harga
34,jadi inti 130 diskon apa tidak
35,bantu bulan februari saja masih 70 kwh kalau kasih lagi ya gas al ini
36,kmren habis diskon langsung naik dua kali lipatnah jgn2 habis diskon sekali ini naik tiga kali lipatjangan kau kelabu kami
37,alhamdulillah kalau ada diskon gara2 diskon februari saya belum isi token sampai skrang saat benar ne akhir token saya bulan juni
38,dampak positif bisa hemat bulan bulan biasa bulan sudah
39,diskon apan kalau telah itu langsung lonjak dua kali lipat bayar
40,smoga benar yakmren asa banget hemat dapat diskon isi token untuk bulan kemarin bisa sampai 2bulan
41,terima kasih perintah sangat bantu seperti kemarin dulu biasa bayar lampu 60 bulan berturut2 itu hanya 30 sering2 ya kasih diskon
42,130 engak bapak
43,siap2 ngewar lagi
44,130 kyaknya ngikut deh karena batas maksimal 130
45,punya saya yang 90 tidak dapat kok
46,siasat yang bagus habis kasih diskon terus naik lagi
47,saya yang isi saat diskon januari februari saja masih belum isi lagi sampai sekarang
48,masih inget nih ya bulan puasa dapat diskon 2bln telah diskon malah naik dua kali lipat udahlah mending tidak usah pakek diskon segala ini rakyat kecil sudah susah apa mahal malah bikin tambah susah
49,habis diskon listrik naik atau cepat sudah kalau tidak air pdam jadi mahal bayar nya
50,saya 50 karena tidak tahan yang 90 jadi tidak bkalan dapat
51,sial saya telah diskon kemrin kok mlh bayar jadi bengkak sial
52,kami rasa dengan pengunan listrik sama habis lbh banyak dari belum belum apa diskon kemarin ada pengaruh ya
53,banyak pabrik tutup akibat stok daya listrik pln over lebih tak pakai padahal produksi daya listrik jalan terus pakai sedikit pasu pln turun diskon 50 harap masyarakat boros listrik padahal lagi hemat usaha sepi karena preman
54,diskon kemarin belum sudah prediksi sudah bulan sudah mau diskon lagi alhamdulilah
55,130 tidak dapat kan di bawah 130
56,moga saja beneran yang beli bulan kemarin belum habis ini isi lagi
57,apa laku listrik pascabayar juga tolong info
58,kok gk ada yang ngucapin nih ke perintah
59,diskon tapi bulan bulan selanjutny langsung lejit bayar listrik lucu
60,tlong jgn diskon lagi bormal saja seperti biasa gp
61,percuma dapat diskon kalau ujung ujung tagih bulan ikut naik dua kali lipat
62,benar tuh bulan di diskon bulan berikute kali lipat
63,trik marketing perintah baca banget
64,tar dapat kejut lagi naik tarif
65,yang diskon kemarin saja kir nanti bulan oktober baru habisini sudah mau kasih diskon lagi
66,kalau di bawah 130 arti yang 130 tidak diskon gt bagaimana sih mksdnya
67,saya rasa subsidi dari perintah sangat bantu untuk saya pribadi dan masyarakat lai
68,saya 130 bulan lalu bulan diskon hbis itu tagih naik yang sblumnya 250 sekarang ampek 30 pdhal pakai sama saja
69,alhamdulillah sudah pernh rasa potong harga listrik benar ringan banget
70,tidak usah di diskon lah mending turun kan saja tdl nyapasti jauh lebih bantu semua masyarakat
71,alhamdulilah jika ini berita benar moga barokah indonesia aamin ya rob
72,kami tidak butuh diskonet konter ujung lonjak tingi6
73,ibu saya ful senyum
74,sudah diskon pasti mahal biasa nya kan begitu untuk tutup diskon yang uda di kasih
75,modus jadi ganda di bulan lanjut
76,aku sudah bulan kagak isi token lagi dan seperti super sangat hemat turut ku dari biasa
77,biasa belum diskon bulan hanya 150 tapi telah ada diskon malah keluar listrik jadi 250 saya bingung yang mulia
78,sama saya juga biasa bayar paling banyak 60 sekarang sampai 120
79,alhamdulilah yang diskon februari masih belum sudah terimakasih sangat bantu
80,ini sama seperti januari februari kemarin
81,alhamdulillah terima kasih bapak presiden
82,stok yang dlu saja belum abisni ada lg disko mantap
83,alhamdulilah
84,saya rumah subsidi listrikny token 130va bagong
85,saya belum isi token lagi sejak diskon lalu
86,sipdiscont lagipunya saya mulai bulan januari belum sudah tokenyabulan baru isiklo ada diskon lagi akan saya isi lagi sampai 2026 habistrims perintah
87,mnding bayar kaya biasa ajangapain diskonhabis diskon bayar listrik mau jantung naik dua kali lipat
88,peras itu bukan lonjak dua kali deh itu kembali ke tagih awal kan bulan diskon 50 persen paruh harga biasa ya setlag itu kembali lagi jadi dua kali lipat dari harga diskon kan memang begitu gw begitu kok alhamdulilah lama diskon bantu
89,halo saya sudah mau bulan belum beli listrik lagi
90,diskon januari sd februari saja belum sudah sampai sekarangterang benderang indonesia terima kasih bapak presiden
91,130 masih dapat gk woy
92,diskon kemarin ful beli jatah 450rb masih ada 250kwh kalau dapat diskon lagi lumayan lah hemat sampai akhir tahun
93,kalau saat di 130
94,alhamdulillah kalau begitu diskon kemarin sudah bulan juni saat banget dapat diskon lagi klau memang benar
95,biasa bayar 30 ribu dapat diskon jadi 18 ribu bulan ikut 425 ribu
96,dari januari belum isi token lagi nih kalau juni coming son again oke lah gas
97,abis diskon naik kali lipat
98,saya hanya setor 18rb bulan sekarang
99,alhamdulillah
100,alhamdulillah ya alah ada diskon lagi
101,coba saja tar kita lihat
102,baru saja nambah daya ke 20
103,kasianya saya yang 20 gadapet disc
104,ini laku untuk listrik token juga ya info ka
105,jadi sekarang kalau saat 130 va bagaimana
106,punya saya yang diskon keamrin belum sudah loh
107,mantap diskon kemarin saja masih ada sudah bulan belum isi token lagi
108,20 menang
109,bulan sekarang biasa bayar 30 jadi 40
110,bagus kasih diskon saja terus
111,yang diskon kemarin belum sudah kalau ada diskon lagi alhamdulilah
112,alhamdulillah diskon bulan kemarin saja belum sudah masih satu bulan lebih pemakaianyaeh ini malah ada diskon lagitrimakasih bapak prabowo
113,20va juga butuh diskon
114,yang bawa 130 dapat discountkami yang kwh 220 menang
115,saya suka saya suka diskon terus bapak listrik kita
116,ya tidak dapat deh saya
117,habis diskon tau tahu tagih naik
118,alhamdulilah
119,gratis tapi ikut ntah lonjak
120,valid tidak ini
121,tehnik marketing nya mantap turun dulu baru naik rakyat sekarang mah sudah pada pinter
122,diskon sih tapi sudah diskon bayar listrik juga naik
123,alhamdulillah bulan kmaren ja token ya masih banyak senang saya klo ada diskon gni bulan besok ada diskon lg alhamdulillah alhamdulillah alhamdulillah mantap
124,itu disko di bawah 130 arti yang 130 tidak dapat begitu ya
125,tidak ada saing bilang rugi sudah
126,yg benar kah ini bakal ada program keg bulan kemarin isi token belum insya untuk tahun kalau ini ada lagi bakal tahun tidak mikir token lagi saya
127,mana tadi saya sudah isi untuk bulan
128,saldo saya masih 40 dari januari 80 sangat bantu
129,sudah diskon bulan kemarin bulan sekarang asa dua kali lipat beli plsa nya
130,alhamdulilahterimkasih pln
131,alhamdulillah periode awal token sudah mau sudah sekarang diskon lagi
132,diskon yang dulu buat ku trauma
133,discounthbs tuh lonjak
