index,text
1,"['token', 'masih', '1530', 'beli', 'bulan', 'januari', 'februari', 'diskon', 'pakai', 'biasa', 'bulan', '150rb', 'kayak', 'awet', 'deh', 'beli', 'diskon', 'januari', 'kemarin', 'sampai', '10', 'bulan', 'depan', 'beli', 'token', 'yang', 'sama']"
2,"['diskon', 'telah', 'diskon', 'bayar', 'kali', 'lipat']"
3,"['pake', 'prabayar', 'dulu', 'diskon', 'memang', 'lumayan', 'rumah', 'ibu', 'ku', 'biasa', '130mentok', 'perbln', 'nya', 'tiba', 'jadi', '170', 'padahal', 'pakai', 'kulkas', 'magicom', 'sanyo', 'kadang2', 'televisi', 'kadang2']"
4,"['halah', 'bulan', 'sekarang', 'diskon', 'bulan', 'depan', 'bayar', 'kali', 'lipat', 'biasa', 'bayar', 'listrik', 'paling', 'mahal', '130150', 'an', 'tiba', 'kena', '230rb', 'padahal', 'pakai', 'biasa']"
5,"['diskon', 'naik', 'kali', 'lipat', 'bayar', 'alah', 'kok', 'gin', 'banget', 'hidup', 'indonesia', 'semua', 'jadiin', 'bisnis', 'kaum', 'elit']"
6,"['tidak', 'usah', 'diskon', 'lah', 'normal', 'kaya', 'kemarin', 'belum', 'diskon', 'jilid', 'habis', 'diskon', 'naik', 'jilid']"
7,"['percuma', 'kasih', 'diskon', 'bulan', 'lanjut', 'bayar', 'nya', 'naik']"
8,"['kalau', 'kemarin', 'diskon', 'sama', 'cuma', 'lebih', 'seminguan', 'tidak', 'beli', 'nyakirain', 'kalau', 'doble', 'bisa', 'dua', 'bulan']"
9,"['habis', 'diskon', 'naeknya', '2xlipat']"
10,"['diskon', 'bulan', 'bulan', 'byran', 'kali', 'lipat', 'trusstop2']"
11,"['enak', 'banget', 'pakai', 'token', 'listrik', 'pulsa', 'untung', 'banyak', 'eh', 'yang', 'listrik', 'pascabayar', 'diskon', 'kali', 'langsung', 'lonjak', 'drastis', 'bayaranya']"
12,"['waw', 'dari', 'bulan', 'februari', 'token', 'ku', 'ada', 'gratis', 'sudah', 'timpah', 'ini', 'alhamdulillah', 'bantu', 'sekali']"
13,"['ga', 'usah', 'diskon', 'kalau', 'masud', 'tiba', 'listrik', 'naik', 'kali', 'lipat']"
14,"['haha', 'diskon', 'hongkong', 'ibarat', 'bayar', 'bulan', 'murah', 'bulan', 'ikut', 'kena', 'rapel', 'tagih', 'jadi', 'mahal', 'bayar']"
15,"['kalau', 'habis', 'diskon', 'bulan', 'ikut', 'nya', 'bayar', 'nya', 'asa', 'ganda', 'pakai', 'sama', 'tagih', 'nya', 'lebih', 'mahal', 'kocak']"
16,"['saldo', 'token', 'beli', 'januari', 'kemarin', 'masih', 'banyak']"
17,"['mau', 'discond', 'telah', 'discond', 'cpt', 'kalau', 'isi']"
18,"['meter', 'ku', 'daya', '90', 'pertama', 'masang', 'isi', '20ribu', 'kok', 'tahun', 'kurang2', 'isi', 'token', 'nya']"
19,"['hbis', 'diskon', 'januari', 'februari', 'sial', 'isi', '10', 'ribu', '90', 'va', 'asa', 'sial', 'ada', '10', 'hari', 'dh', 'hbispdhl', 'itu', 'biasa', 'kuat', '2mingu', 'bhkn', 'lebih']"
20,"['turunin', 'harga', 'nya', 'ngapain', 'pake', 'bahasa', 'diskon', 'kaya', 'pakai', 'event']"
21,"['plis', 'bilang', 'tarif', 'diskon', 'naik', 'jadi', 'kali', 'lipat', 'info', 'darimana', 'saya', 'bayarin', 'listrik', 'rumah', 'punya', 'orang', 'tua', 'kakak', 'daya', '450', 'bayar', 'tetep', 'normal', 'kok', 'naik', 'kali', 'lipar', 'btw', 'daerah', 'jawa', 'barat']"
22,"['benar', 'aje', 'habis', 'diskon', 'listrik', 'lonjak', 'naik', 'keskrg', 'biasa', 'pakai', 'sbln', '10rb', 'per', 'bulan', 'sekarang', '20rb', 'per', 'bulan', 'padahal', 'daya', 'wat', 'nambah2', 'cuma', 'rumah', 'kecil']"
23,"['130', 'bayar', '480k', 'mahal', 'benar', 'biasa', 'nya', '350370']"
24,"['no', 'coment']"
25,"['darimana', 'indonesia', 'gelap', 'peras', 'terang', 'banget', 'ni', 'listrik', 'diskon', 'terus', 'haha']"
26,"['bilang', 'naik', 'pernah', 'cek', 'sih', 'meter', 'pln', 'nya', 'pakai', 'kalian', 'yang', 'sadar', 'lebih']"
27,"['semua', 'komen', 'kok', 'aneh2', 'kami', 'justru', 'rasa', 'banget', 'danpaknya', 'justru', 'bikin', 'hemat', 'loh', 'tdnya', 'untuk', 'bulan', 'jadi', 'sampai', 'bulan']"
28,"['nya', 'mulai', 'daya', '130', 'daya', '130', 'byk', 'oleh', 'laku', 'umkm', 'jadi', 'perintah', 'bantu']"
29,"['kemarin', 'isi', '40', 'belum', 'ini', 'diskon', 'terima', 'kasih', 'banyak']"
30,"['halah', 'habis', 'diskon', 'naik', 'kali', 'lipat', 'heran', 'mah', 'pln']"
31,"['sumpah', 'ini', 'saya', 'dari', 'perintah']"
32,"['jadi', '130', 'dapat']"
33,"['kalau', 'perintah', 'mau', 'adil', 'usah', 'dicoun', 'tarif', 'listrikgk', 'usah', 'naik', 'gaji', 'pns', 'nelayanpetaniojol', 'punya', 'gaji', 'tetapcukup', 'turun', 'tarif', 'dasar', 'listrikbmsrmbakopajak', 'semua', 'sama', 'rata', 'biar', 'adilturunkan', 'harga']"
34,"['jadi', 'inti', '130', 'diskon', 'apa']"
35,"['bantu', 'bulan', 'februari', 'masih', '70', 'kwh', 'kalau', 'kasih', 'ya', 'gas', 'al']"
36,"['kmren', 'habis', 'diskon', 'langsung', 'naik', 'kali', 'lipatnah', 'jgn2', 'habis', 'diskon', 'sekali', 'naik', 'tiga', 'kali', 'lipatjangan', 'kau', 'kelabu']"
37,"['alhamdulillah', 'kalau', 'diskon', 'gara2', 'diskon', 'februari', 'belum', 'isi', 'token', 'skrang', 'benar', 'ne', 'akhir', 'token', 'bulan', 'juni']"
38,"['dampak', 'positif', 'hemat', 'bulan', 'bulan', 'biasa', 'bulan']"
39,"['diskon', 'apan', 'kalau', 'itu', 'langsung', 'lonjak', 'kali', 'lipat', 'bayar']"
40,"['smoga', 'benar', 'yakmren', 'asa', 'banget', 'hemat', 'diskon', 'isi', 'token', 'bulan', 'kemarin', 'sampai', '2bulan']"
41,"['terima', 'kasih', 'perintah', 'sangat', 'bantu', 'kemarin', 'dulu', 'biasa', 'bayar', 'lampu', '60', 'bulan', 'berturut2', 'hanya', '30', 'sering2', 'kasih', 'diskon']"
42,"['130', 'engak', 'bapak']"
43,"['siap2', 'ngewar']"
44,"['130', 'kyaknya', 'ngikut', 'deh', 'batas', 'maksimal', '130']"
45,"['punya', 'yang', '90', 'dapat', 'kok']"
46,"['siasat', 'bagus', 'habis', 'kasih', 'diskon', 'terus', 'naik']"
47,"['yang', 'isi', 'diskon', 'januari', 'februari', 'masih', 'isi', 'sampai', 'sekarang']"
48,"['inget', 'nih', 'bulan', 'puasa', 'diskon', '2bln', 'diskon', 'malah', 'naik', 'kali', 'lipat', 'udahlah', 'mending', 'usah', 'pakek', 'diskon', 'segala', 'rakyat', 'kecil', 'susah', 'apa', 'mahal', 'malah', 'bikin', 'tambah', 'susah']"
49,"['habis', 'diskon', 'listrik', 'naik', 'cepat', 'kalau', 'air', 'pdam', 'jadi', 'mahal', 'bayar', 'nya']"
50,"['50', 'tahan', '90', 'jadi', 'tidak', 'bkalan']"
51,"['sial', 'telah', 'diskon', 'kemrin', 'kok', 'mlh', 'bayar', 'jadi', 'bengkak', 'sial']"
52,"['rasa', 'pengunan', 'listrik', 'sama', 'habis', 'lbh', 'banyak', 'belum', 'apa', 'diskon', 'kemarin', 'pengaruh']"
53,"['banyak', 'pabrik', 'tutup', 'akibat', 'stok', 'daya', 'listrik', 'pln', 'over', 'lebih', 'tak', 'pakai', 'padahal', 'produksi', 'daya', 'listrik', 'jalan', 'terus', 'pakai', 'sedikit', 'pasu', 'pln', 'turun', 'diskon', '50', 'harap', 'masyarakat', 'boros', 'listrik', 'padahal', 'hemat', 'usaha', 'sepi', 'preman']"
54,"['diskon', 'kemarin', 'prediksi', 'bulan', 'sudah', 'mau', 'diskon', 'alhamdulilah']"
55,"['130', 'dapat', 'kan', 'bawah', '130']"
56,"['moga', 'beneran', 'beli', 'bulan', 'kemarin', 'habis', 'isi']"
57,"['apa', 'laku', 'listrik', 'pascabayar', 'tolong', 'info']"
58,"['kok', 'gk', 'yang', 'ngucapin', 'nih', 'perintah']"
59,"['diskon', 'bulan', 'bulan', 'selanjutny', 'langsung', 'lejit', 'bayar', 'listrik', 'lucu']"
60,"['tlong', 'jgn', 'diskon', 'bormal', 'seperti', 'biasa', 'gp']"
61,"['percuma', 'diskon', 'kalau', 'ujung', 'ujung', 'tagih', 'bulan', 'ikut', 'naik', 'kali', 'lipat']"
62,"['benar', 'tuh', 'bulan', 'diskon', 'bulan', 'berikute', 'kali', 'lipat']"
63,"['trik', 'marketing', 'perintah', 'baca', 'banget']"
64,"['tar', 'kejut', 'naik', 'tarif']"
65,"['diskon', 'kemarin', 'kir', 'bulan', 'oktober', 'baru', 'habisini', 'mau', 'kasih', 'diskon']"
66,"['kalau', 'bawah', '130', 'arti', '130', 'diskon', 'gt', 'bagaimana', 'sih', 'mksdnya']"
67,"['rasa', 'subsidi', 'perintah', 'sangat', 'bantu', 'saya', 'pribadi', 'masyarakat', 'lai']"
68,"['130', 'bulan', 'lalu', 'bulan', 'diskon', 'hbis', 'tagih', 'naik', 'sblumnya', '250', 'sekarang', 'ampek', '30', 'pdhal', 'pakai', 'sama']"
69,"['alhamdulillah', 'pernh', 'rasa', 'potong', 'harga', 'listrik', 'benar', 'ringan', 'banget']"
70,"['usah', 'diskon', 'lah', 'mending', 'turun', 'kan', 'tdl', 'nyapasti', 'jauh', 'lebih', 'bantu', 'semua', 'masyarakat']"
71,"['alhamdulilah', 'ini', 'berita', 'benar', 'moga', 'barokah', 'indonesia', 'aamin', 'rob']"
72,"['tidak', 'butuh', 'diskonet', 'konter', 'ujung', 'lonjak', 'tingi6']"
73,"['ibu', 'ful', 'senyum']"
74,"['diskon', 'mahal', 'biasa', 'nya', 'kan', 'untuk', 'tutup', 'diskon', 'uda', 'kasih']"
75,"['modus', 'jadi', 'ganda', 'bulan', 'lanjut']"
76,"['aku', 'bulan', 'kagak', 'isi', 'token', 'dan', 'super', 'sangat', 'hemat', 'turut', 'ku', 'biasa']"
77,"['biasa', 'diskon', 'bulan', '150', 'telah', 'diskon', 'malah', 'keluar', 'listrik', 'jadi', '250', 'bingung', 'mulia']"
78,"['sama', 'juga', 'biasa', 'bayar', 'paling', 'banyak', '60', 'sekarang', '120']"
79,"['alhamdulilah', 'diskon', 'februari', 'belum', 'terimakasih', 'sangat', 'bantu']"
80,"['sama', 'januari', 'februari', 'kemarin']"
81,"['alhamdulillah', 'terima', 'kasih', 'bapak', 'presiden']"
