index,text
1,token saya masih di 1530 beli dari bulan Januari Februari saat Diskon pemakaian biasanya sebulan 150rb kayaknya awet deh beli diskon Januari kemarin bisa sampai 10 bulan ke depan  beli token ada yang sama
2,dapat diskon tetapi setelah diskon bayar dua kali lipat
3,saya pake prabayar saat dulu diskon memang lumayan tapi  rumah ibu ku yang biasanya 130mentok perbln nya tiba-tiba jadi 170 padahal pemakaian hanya kulkas magicom  sanyo kadang2  televisi juga kadang2
4,halah bulan sekarang diskon bulan depan bayar dua kali lipat biasa bayar listrik paling mahal 130150 an tiba-tiba saja kena 230rb padahal pemakaian biasa saja
5,sudah diskon naik dua kali lipat bayarnya ya alah kok gini banget ya hidup di INDONESIA semua di jadiin bisnis kaum elit
6,tidak tidak usah diskon² lah normal kaya kemarin saja sebelum diskon jilid  nanti habis diskon naik lagi jilid ke 
7,percuma di kasih diskon bulan selanjutnya bayar nya naik
8,kalau saya kemarin yang diskon itu sama saja cuma lebih seminguan begitu tidak beli nyakirain kalau Doble begitu bisa untuk dua bulanan
9,habis diskon naeknya 2xlipat
10,diskon  bulan  bulan byran dua kali lipat trusstop2
11,enak banget ya yang pakai token listrik pulsa untung banyak eh yang listrik pascabayar sudah diskon  kali langsung melonjak drastis bayaranya 
12,waw tapi dari bulan Februari saja token ku masih ada gratisan belum sudah  timpah lagi ini alhamdulillah membantu sekali
13,Ga usah diskon-diskon kalau ada masud tertentu tiba-tiba listrik naik  kali lipat
14,haha DISKON DARI HONGKONG  itu ibarat kita bayar bulan ini murah bulan berikutnya kena rapel tagihan jadi mahal bayarnya 
15,kalau habis diskon bulan berikut nya bayar nya terasa ganda karena pemakaian sama tapi tagihan nya lebih mahal kocak 
16,saldo token yang beli Januari kemarin saja masih banyak
17,tidak mau discond lagi setelah discond sudah cpt sudah kalau isi 
18,Meteran ku daya 90 dari pertama masang di isi 20ribu kok  tahun tidak kurang2 ya isi token nya 
19,hbis diskon Januari dan Februari sial mengisi 10 ribu 90 VA tidak terasa sial tidak ada 10 hari dh hbispdhl sebelum itu biasanya kuat 2mingu bhkn lebih
20,turunin saja harga nya ngapain pake bahasa diskon kaya pakaian lagi event saja
21,Plis yang bilang tarif setelah diskon naik jadi dua kali lipat info darimana karena saya bayarin listrik  rumah punya orang tua dan kakak daya 450 tapi pembayaran tetep normal kok tidak naik dua kali lipar btw daerahku jawa barat
22,yang benar aje nanti habis diskon listrik melonjak lagi naik keskrg ini biasanya pemakaian saya sbln 10rb per bulan sekarang 20rb per bulan padahal daya wat tidak nambah2 cuma untuk rumah kecil
23,130 bayarnya 480k mahal benar ini biasa nya 350370
24,NO COMENT
25,Darimana indonesia gelapnya ya perasan terang banget ni listrik diskon terus haha
26,yang bilang naik tidak pernah dicek sih meteran PLN nya pemakaian kalian saja yang tidak sadar berlebihan
27,Semua komen kok pada aneh2 ya kami justru merasakan banget danpaknya  justru bikin hemat loh yang tdnya hanya untuk sebulan jadi bisa sampai  bulan
28,harus nya dimulai dari daya 130 karena daya 130 byk digunakan oleh pelaku umkm jadi pemerintah harus membantu
29,yang kemarin saya isi 40 saja belum sudah ini diskon lagi terima kasih banyak ya
30,halah nanti habis diskon naiknya  kali lipat heran saya mah dengan PLN
31,sumpah hanya ini yang saya dapat dari pemerintah
32,jadi 130 tidak dapat ya
33,kalau pemerintah mau adil tidak usah ada dicoun tarif listrikgk usah naik gaji pns sementara nelayanpetaniojol tidak punya gaji tetapcukup turunkan tarif dasar listrikbmsrmbakopajak semua sama rata biar adilturunkan harga
34,jadi intinya 130 diskon apa tidak
35,bantuan bulan Februari saja masih 70 kWh kalau dikasih lagi ya gas al ini
36,Kmren habis diskon langsung naik dua kali lipatnah jgn2 habis diskon sekali ini naik tiga kali lipatjangan kau kelabui kami
37,alhamdulillah kalau ada diskon gara2 diskon Februari saya belum isi token sampai skrang saat benar ne terakhir token saya bulan Juni
38,dampaknya positif bisa hemat berbulan bulan biasanya  bulan sudah
39,diskon apan  kalau setelah itu langsung melonjak dua kali lipat bayarnya
40,smoga benar yakmren terasa banget hematnya dapat diskon isi token untuk sebulan kemarin bisa sampai 2bulan
41,terima kasih pemerintah sangat membantu seperti kemarin dulu  biasa bayar lampu 60  bulan berturut2 itu hanya 30 sering2 ya kasih diskon 
42,130 engak bapak 
43,siap2 ngewar lagi 
44,130 kyaknya ngikut deh karena batas maksimalnya 130
45,punya saya yang 90 tidak dapat kok
46,siasat yang bagus Habis dikasih diskon terus dinaikan lagi 
47,saya yang isi saat diskon Januari Februari saja masih  belum isi lagi sampai sekarang
48,masih inget nih ya bulan puasa dapat diskon 2bln setelah diskon malah naik dua kali lipat udahlah mending tidak usah pakek diskon² segala ini rakyat kecil sudah susah apa² mahal malah dibikin tambah susah
49,habis diskon listrik naik atau cepat sudah  kalau tidak air PDAM jadi mahal bayar nya
50,Saya 50 karena tidak tahan yang 90 jadi tidak bkalan dapat
51,sial saya setelah diskon kemrin kok mlh bayarnya jadi bengkak sial
52,kami merasakan dengan pengunan listrik sama habisnya LBH banyak dari sebelum sebelumnya apa diskon kemarin ada pengaruhnya ya
53,banyak pabrik tutup akibatnya stok daya listrik PLN over berlebih tak terpakai Padahal produksi daya listrik jalan terus terpakainya sedikit pemasukan PLN turun Diskon 50 berharap masyarakat boros listrik Padahal lagi berhemat usaha sepi karena preman
54,diskon kemarin belum sudah prediksi sudah bulan  sudah mau diskon lagi  Alhamdulilah
55,130 tidak dapat  kan di bawah 130
56,semoga saja beneran yang beli bulan  kemarin belum habis ini mengisi lagi
57,apa berlaku listrik pascabayar juga tolong info
58,kok GK ada yang ngucapin nih ke pemerintah
59,Diskon tapi bulan bulan selanjutny langsung melejit pembayaran listrik lucu
60,tlong jgn diskon lagi bormal saja seperti biasa gp
61,percuma dapat diskon kalau ujung ujungnya tagihan bulan berikutnya naik dua kali lipat
62,benar tuh  bulan di diskon bulan berikute  kali lipat 
63,trik marketing pemerintah kebaca banget 
64,tar dapat kejutan lagi naik tarif 
65,yang diskon kemarin saja perkiran nanti bulan Oktober baru habisini sudah mau dikasih diskon lagi
66,kalau di bawah 130 berarti yang 130 tidak diskon gt bagaimana sih mksdnya
67,saya merasakan subsidi dari pemerintah sangat membantu untuk saya pribadi dan masyarakat lainya
68,saya 130 bulan lalu  bulan diskon hbis itu tagihan naik yang sblumnya 250 sekarang ampek 30 pdhal pemakaian sama saja
69,alhamdulillah sudah pernh merasakan potongan harga listrik benar ringan banget
70,tidak usah di diskon lah mending turun kan saja TDL nyapasti jauh lebih membantu semua masyarakat
71,Alhamdulilah jika ini berita benar semoga barokah Indonesia Aamin ya rob 
72,kami tidak butuh diskonet konter ujung-ujungnya melonjak tingi6
73,ibu saya ful senyum
74,sudah diskon pasti mahal biasa nya kan begitu untuk menutupi diskon yang Uda di kasih
75,modus jadi ganda di bulan selanjutnya
76,Aku sudah  bulan kagak isi token lagi dan seperti super sangat hemat menurut ku dari biasanya
77,Biasanya sebelum diskon sebulan hanya 150 tapi setelah ada diskon malah pengeluaran listrik jadi 250 saya bingung yang mulia
78,sama saya juga biasa bayar paling banyak 60 sekarang sampai 120
79,Alhamdulilah yang diskon Februari masih belum sudah Terimakasih Sangat membantu 
80,ini sama seperti Januari Februari kemarin 
81,alhamdulillah terima kasih bapak presiden 
82,stok yang dlu saja belum abisni ada LG diskonya mantap
83,Alhamdulilah
84,saya perumahan subsidi listrikny token 130va membagongkan
85,saya belum isi token lagi sejak diskon lalu 
86,sipdiscont lagipunya saya mulai bulan Januari belum sudah tokenyabulan  baru isiklo ada diskon lagi akan saya isi lagi sampai 2026 habistrims pemerintah
87,mnding bayar kaya biasa ajangapain diskonhabis diskon bayar listrik mau jantungan naik dua kali lipat
88,Perasan itu bukan melonjak dua kali deh  Itu kembali ke tagihan awal kan  bulan diskon 50 persen separuh harga biasa  Ya setlag itu kembali lagi jadi dua kali lipat dari harga diskon kan memang begitu  Gw begitu kok  Alhamdulilah selama diskon membantu 
89,halo saya sudah mau  bulan belum beli listrik lagi 
90,diskon Januari sd Februari saja belum sudah sampai sekarangterang benderang indonesiaku terima kasih bapak presiden
91,130 masih dapat GK woy
92,diskon kemarin ful beli jatah 450rb masih ada 250kwh kalau dapat diskon lagi lumayan lah hemat sampai akhir tahun
93,kalau saat di 130
94,alhamdulillah kalau begitu diskon kemarin sudah bulan Juni saat banget dapat diskon lagi klau memang benar
95,biasa bayar 30 ribu dapat diskon jadi 18 ribu bulan berikutnya 425 ribu
96,dari Januari belum isi token lagi nih kalau Juni coming son again oke lah gas
97,Abis diskon naik  kali lipat
98,saya hanya setor 18rb bulan sekarang
99,alhamdulillah
100,alhamdulillah ya alah ada diskon lagi 
101,coba saja tar kita lihat
102,baru saja nambah daya ke 20
103,kasianya saya yang 20 gadapet disc
104,ini berlaku untuk listrik token juga ya info ka
105,jadi sekarang kalau saat 130 VA bagaimana
106,punya saya yang diskon keamrin belum sudah loh
107,mantap diskon kemarin saja masih ada sudah  bulan belum isi token lagi 
108,20 menangis
109,Bulan sekarang biasa bayar 30 jadi 40 
110,Bagus kasih diskon saja terus 
111,yang diskon kemarin belum sudah kalau ada diskon lagi Alhamdulilah
112,alhamdulillah diskon bulan kemarin saja belum sudah masih satu bulan lebih pemakaianyaeh ini malah ada diskon lagitrimakasih bapak Prabowo
113,20va juga butuh diskon
114,yang dibawa 130 dapat discountkami yang kWh 220 menangis
115,saya suka saya suka diskon terus bapak listrik kita
116,ya tidak dapat deh saya
117,Habis diskon Tau tahu tagihan naik
118,Alhamdulilah
119,gratis tapi berikut ntah melonjak
120,valid tidak ini
121,tehnik marketing nya mantap Turunkan dulu baru Naikan  Rakyat sekarang mah sudah pada pinter²
122,diskon sih tapi sudah diskon  bayar listrik juga naik
123,alhamdulillah bulan kmaren ja token ya masih banyak senang saya KLO ada diskon gni  bulan besok ada diskon LG alhamdulillah alhamdulillah alhamdulillah mantap
124,itu diskonya di bawah 130 berarti yang 130 tidak dapat begitu ya 
125,tidak ada saingan bilang rugi-rugi sudah
126,Yg benar kah ini bakal ada program keg bulan kemarin Isi token  belum insyalah untuk setahun kalau ini ada lagi bakal  tahun tidak mikir token lagi saya
127,mana tadi saya sudah isi untuk sebulan
128,saldo saya masih 40 dari Januari 80  sangat membantu
